City_Year,Men,Women
Athens 1896,12.0,-
Paris 1900,11.0,-
St. Louis 1904,11.0,-
London 1908,10.8,-
Stockholm 1912,10.8,-
Antwerp 1920,10.8,-
Paris 1924,10.6,-
Amsterdam 1928,10.8,12.2
Los Angeles 1932,10.3,11.9
Berlin 1936,10.3,11.5
London 1948,10.3,11.9
Helsinki 1952,10.4,11.5
Melbourne 1956,10.5,11.5
Rome 1960,10.2,11
Tokyo 1964,10.0,11.4
Mexico City 1968,9.95,11
Munich 1972,10.14,11.07
Montreal 1976,10.06,11.08
Moscow 1980,10.25,11.06
Los Angeles 1984,9.99,10.97
Seoul 1988,9.92,10.62
Barcelona 1992,9.96,10.82
Atlanta 1996,9.84,10.94
Sydney 2000,9.87,-
Athens 2004,9.85,10.93
Beijing 2008,9.69,10.78
London 2012,9.63,10.75
Rio 2016,9.81,10.71
Tokyo 2020,9.8,10.61
Paris 2024,9.79,10.72
